#fields	hash	name
847b0c334fd0f6f85457054fabff3145	Firefox/14.0.1_Linux	T
e98db583389531a37f2fe8d251f0f7ae	Firefox/25.0	T
cc9bcf019b339c01d200515d1cb39092	Firefox/27.0-32.0;IceWeasel_31.8.0	T
45d22e6403f053bfb2cc223755588533	Firefox/28.0-30.0	T
8df37d4e7430e2d9a291ae9ee500a1a9	Firefox/32.0	T
5ba6ed04b246c96c6839e0268a8b826f	Firefox/33.0	T
c5392af25feaf95cfefe858abd01c86b	Firefox/33.0	T
9250f97ba65d86e7b0e60164c820d91a	Firefox/34.0-35.00	T
ab834ac5135f2204d473878821979cea	Firefox/34.0-35.00	T
514058a66606ae870bcc670e95ca7e68	Firefox/37.0	T
edf844351bc867631b5ebceda318669b	Firefox/38_Linux	T
ca0f3f4c08cbd372720beb1af7d2721f	Firefox/52	T
4e66f5ad78f3d9ad8d5c7c88d138db43	Firefox/52_Linux	T
1885aa9927f99ed538ed895d9335995c	Firefox/55_Windows_10	T
be1a7de97ea176604a3c70622189d78d	Firefox/56.0_Windows_10	T
2aef69b4ba1938c3a400de4188743185	Firefox/6.0.1_-_12.0	T
3d99dda4f6992b35fdb16d7ce1b6ccba	Firefox_24.0_Iceweasel24.3.0	T
c57914fadb301a73e712378023b4b177	Firefox_25.0	T
755cdaa3496eb8728247a639dee17aad	Firefox_26.0	T
ff9223b5c9a5d44a8a423833751fa158	Firefox_27.0	T
df9bedd5713fe0cc2e9184d7c16a5913	Firefox_3.0.19	T
4a9bd55341e1ffe6fedb06ad4d3010a0	Firefox_3.5_-_3.6	T
2872afed8370401ec6fe92acb53e5301	FireFox_40.0.3_(tested_Windows_8)	T
46129449560e5731dc9c5106f111a3db	Firefox_46.0	T
d06b3234356cb3df0983fc8dd02ece68	Firefox_46.0	T
05ece02fb23acf2efbfff54ce4099a45	Firefox_47.0_2	T
aa907c2c4720b6f54cd8b67a14cef0a3	Firefox_47.x_1_/_FireFox_47.x_(Windows_7SP1)	T
8b18c5b0c54cba1ffb2438fe24792b63	Firefox_49.0a2_Developer_TLS_1.3_enabled	T
f586111542f330901d9a3885a9c821b5	FireFox_49_(dev_edition)	T
8ed0a2cdcad81fc29313910eb94941d8	FireFox_49_(TLSv1.3_enabled)	T
1996e434b11323df4e87f8fe0e702209	FireFox_49_(TLSv1.3_enabled_-_I_think_websockets)	T
504ecb2d3e5e83a179316f098dadbaeb	Flux	T
8498fe4268764dbf926a38283e9d3d8f	Franz;Spotify;Slack	T
900c1fa84b4ea86537e1d148ee16eae8	Fuze	T
107144b88827da5da9ed42d8776ccdc5	geod	T
c46941d4de99445aef6b497679474cf4	geod	T
3e765b7a69050906e5e48d020921b98e	git_commandline_(tested:_1.9._Linux)	T
d0df7f7c9ca173059b2cd17ce5c2e5cc	Git-Bash_(Tested_v2.6.0)_/_curl_7.47.1_(cygwin)	T
f8c50bbee59c526ca66da05f3dc4b735	GitHub_Desktop_(tested_build_216_on_OSX)	T
a3b2fe29619fdcb7a9422b8fddb37a67	GMail_SMTP_Relay	T
94b94048a438e77122fc4eee3a6a4a26	GNU_Wget_1.16.1_built_on_darwin14.0.0	T
0267b752d6a8b5fd195096b41ea5839c	GNUTLS_Commandline	T
f11b0fca6c063aa69d8d39e0d68b6178	golang_(tested:_1.4.1)	T
07ef3a7f5f8ffef08affb186284f2af4	Google_Calendar_Agent_(Tested_on_OSX)	T
002205d0f96c37c5e660b9f041363c11	Google_Chrome	T
073eede15b2a5a0302d823ecbd5ad15b	Google_Chrome	T
0b61c673ee71fe9ee725bd687c455809	Google_Chrome	T
5498cef2cca704eb01cf2041cc1089c1	Google_Chrome	T
6cd1b944f5885e2cfbe98a840b75eeb8	Google_Chrome	T
b4f4e6164f938870486578536fc1ffce	Google_Chrome	T
baaac9b6bf25ad098115c71c59d29e51	Google_Chrome	T
da949afd9bd6df820730f8f171584a71	Google_Chrome	T
f58966d34ff9488a83797b55c804724d	Google_Chrome	T
fd6314b03413399e4f23d1524d206692	Google_Chrome	T
b8f81673c0e1d29908346f3bab892b9b	Google_Chrome;Adware__(from_abuse.ch)	T
abe568de919448adcd756aea9a136aea	Google_Chrome_(43.0.2357.130_64-bit_OSX)	T
400961c8161ba7661a7029d3f7e8bb95	Google_Chrome_(Android)	T
072c0469aa4f2f597bb38bcc17095c51	Google_Chrome_(tested:_43.0.2357.130_64-bit_OSX)	T
696cd0c8c241e19e3d6336c3d3d9e2e0	Google_Chrome_(tested:_43.0.2357.130_64-bit_OSX)	T
c40b51e2a59425b6a2b500d569962a60	Google_Chrome_(tested:_43.0.2357.130_64-bit_OSX)	T
e8aabc4fe1fc8d47c648d37b2df7485f	Google_Chrome_45.0.2454.101	T
a9030ea4837810ce89fb8a3d39ca12ed	Google_Chrome_46.0.2490.71	T
7ea3e17d09294aee8425ae05588f0c66	Google_Chrome_46.0.2490.71_m	T
0e46737668fe75092919ee047a0b5945	Google_Chrome_Helper	T
39fa85654105398ee7ef6a3a1c81d685	Google_Chrome_Helper	T
4ba7b7022f5f5e1e500bb19199d8b1a4	Google_Chrome_Helper	T
c1741dd3d2eec548df0bcd89e08fa431	Google_Drive_(tested:_1.26.0707.2863_-_Win_8.x_&_Win_10)	T
d27fb8deca6e3b9739db3fda2b229fe3	Google_Drive_File_Stream	T
ae340571b4fd0755c4a0821b18d8fa93	Google_Earth	T
b16614e71d26ba348c94bfc8e33b1767	Google_Earth_Linux_7.1.4.1529	T
9af622c65a17a0bf90d6e9504be96a43	Google_Mail_server_starttls_connection	T
f059212ce3de94b1e8253a7522cb1b44	Google_Photos_Backup	T
50dfee94717e9640b1c384e5bd78e61e	GoogleBot	T
fd10cc8cce9493a966c57249e074755f	gramblr	T
